function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey100,1,100,0.8000,0.1500,0.2200,0.9000,0.0000,0.15946320,0.15169888,0.16208537
mackey100,1,100,0.9000,0.1000,0.2600,0.9000,0.0000,0.15028282,0.14610159,0.15158645
mackey100,1,100,1.0000,0.1000,0.2600,0.9000,0.0000,0.15244998,0.14793088,0.15576875
mackey100,2,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,2,100,0.1000,0.3500,0.2200,0.8200,0.0000,0.18701836,0.18295114,0.17909081
mackey100,2,100,0.2000,0.1500,0.2400,0.8200,0.0000,0.18112877,0.17099863,0.17526692
mackey100,2,100,0.3000,0.1500,0.2800,0.8200,0.0000,0.16416355,0.15509105,0.16533947
mackey100,2,100,0.4000,0.1500,0.2800,0.8200,0.0000,0.16555446,0.15913510,0.17007787
mackey100,2,100,0.5000,0.1500,0.2400,0.8600,0.0000,0.16178511,0.15533501,0.16519185
mackey100,2,100,0.6000,0.1500,0.2200,0.8600,0.0000,0.15944195,0.14895449,0.16345934
mackey100,2,100,0.7000,0.1500,0.2600,0.8600,0.0000,0.15934649,0.15018635,0.16474419
mackey100,2,100,0.8000,0.1000,0.2800,0.8600,0.0000,0.16139592,0.15511226,0.16649195
mackey100,2,100,0.9000,0.1000,0.2400,0.8800,0.0000,0.16254515,0.15702778,0.16818243
mackey100,2,100,1.0000,0.1000,0.2200,0.8600,0.0000,0.16220412,0.15827324,0.16781600

mackey200,0,200,0.0000,0.3000,0.3700,0.8700,9.0000,0.99476744,1.01240327,0.99507342
mackey200,0,200,0.1000,0.5000,0.4300,0.9300,0.0000,0.16388703,0.15714173,0.15982821
mackey200,0,200,0.2000,0.5000,0.3700,0.9300,0.0000,0.14407067,0.13364233,0.14775894
mackey200,0,200,0.3000,0.4200,0.4300,0.8700,0.0000,0.14444676,0.13497439,0.14543687
mackey200,0,200,0.4000,0.3200,0.4500,0.9500,0.0000,0.13596532,0.13045545,0.14349145
mackey200,0,200,0.5000,0.4200,0.4100,0.9500,0.0000,0.13241911,0.13122612,0.14124038
mackey200,0,200,0.6000,0.3400,0.4300,0.9100,0.0000,0.13939535,0.13274666,0.14277426
mackey200,0,200,0.7000,0.4400,0.3700,0.8900,0.0000,0.13647230,0.13244383,0.14142317
mackey200,0,200,0.8000,0.3000,0.4300,0.9100,0.0000,0.14084289,0.13371067,0.14409323
mackey200,0,200,0.9000,0.4000,0.4500,0.9300,0.0000,0.13606599,0.13222205,0.14418099
mackey200,0,200,1.0000,0.4800,0.4300,0.8900,0.0000,0.13212697,0.13588790,0.14216574
mackey200,1,200,0.0000,0.3000,0.3700,0.8700,9.0000,0.99476744,1.01240327,0.99507342
mackey200,1,200,0.1000,0.4600,0.3900,0.9300,0.0000,0.16661183,0.15423132,0.16113444
mackey200,1,200,0.2000,0.4400,0.4300,0.9100,0.0000,0.14611021,0.13556745,0.15000948
mackey200,1,200,0.3000,0.3800,0.3700,0.9500,0.0000,0.14041907,0.13407659,0.14422087
mackey200,1,200,0.4000,0.3800,0.3900,0.8700,0.0000,0.13920578,0.13346450,0.14414069
mackey200,1,200,0.5000,0.5000,0.3700,0.8700,0.0000,0.13819873,0.13392601,0.14438366
mackey200,1,200,0.6000,0.4600,0.4500,0.8900,0.0000,0.13111815,0.13168336,0.14393829
mackey200,1,200,0.7000,0.4600,0.4500,0.9300,0.0000,0.13285956,0.13277686,0.14661336
mackey200,1,200,0.8000,0.3600,0.4300,0.9500,0.0000,0.13538456,0.13290228,0.14692145
mackey200,1,200,0.9000,0.4000,0.4300,0.8900,0.0000,0.13832295,0.13431717,0.14619447
mackey200,1,200,1.0000,0.4000,0.4100,0.9500,0.0000,0.13757217,0.13600737,0.14521287
mackey200,2,200,0.0000,0.3000,0.3700,0.8700,9.0000,0.99476744,1.01240327,0.99507342
mackey200,2,200,0.1000,0.5000,0.3900,0.8700,0.0000,0.16213028,0.15515557,0.15880384
mackey200,2,200,0.2000,0.4000,0.4300,0.8700,0.0000,0.14781030,0.14038402,0.14530723
mackey200,2,200,0.3000,0.4400,0.4100,0.8700,0.0000,0.13863463,0.13262109,0.14509542
mackey200,2,200,0.4000,0.3600,0.3700,0.9100,0.0000,0.13994026,0.13355572,0.14053808
mackey200,2,200,0.5000,0.4000,0.4500,0.8900,0.0000,0.13836748,0.13254245,0.14400650
mackey200,2,200,0.6000,0.3600,0.4100,0.9300,0.0000,0.13616775,0.13299380,0.14134257
mackey200,2,200,0.7000,0.4400,0.4300,0.9500,0.0000,0.13053312,0.13332903,0.14397316
mackey200,2,200,0.8000,0.4400,0.4100,0.9300,0.0000,0.13463876,0.13270521,0.14310271
mackey200,2,200,0.9000,0.4600,0.4100,0.9300,0.0000,0.13261742,0.13444555,0.14331156
mackey200,2,200,1.0000,0.3800,0.3900,0.9300,0.0000,0.13783321,0.13588205,0.14434382

mackey300,0,300,0.0000,0.3900,0.5500,1.1000,0.0000,0.12910190,0.12469944,0.13806861
mackey300,0,300,0.1000,0.4000,0.5500,1.1000,0.0000,0.12614388,0.12748642,0.14166310
mackey300,0,300,0.2000,0.3600,0.5500,1.1000,0.0000,0.12546337,0.12365190,0.13622038
mackey300,0,300,0.3000,0.3200,0.6000,1.1000,0.0000,0.12899772,0.12280224,0.13518542
mackey300,0,300,0.4000,0.3700,0.6500,1.1000,0.0000,0.12701999,0.12260158,0.14019072
mackey300,0,300,0.5000,0.3900,0.5000,1.1000,0.0000,0.12842404,0.12448518,0.13665691
mackey300,0,300,0.6000,0.3900,0.5000,1.1000,0.0000,0.12637245,0.12368853,0.13705075
mackey300,0,300,0.7000,0.3900,0.6000,1.1000,0.0000,0.12587860,0.12517421,0.14150732
mackey300,0,300,0.8000,0.3600,0.6500,1.1000,0.0000,0.12195264,0.12173536,0.13366912
mackey300,0,300,0.9000,0.3700,0.5500,1.1000,0.0000,0.12630806,0.12608863,0.13936007
mackey300,0,300,1.0000,0.3000,0.5500,1.0500,0.0000,0.13059459,0.12631066,0.13854842
mackey300,1,300,0.0000,0.4000,0.6500,1.1000,0.0000,0.12442353,0.12307320,0.13744755
mackey300,1,300,0.1000,0.3300,0.5000,1.1000,0.0000,0.12701375,0.12559033,0.13524486
mackey300,1,300,0.2000,0.3400,0.7000,1.1000,0.0000,0.12597533,0.12563324,0.13771651
mackey300,1,300,0.3000,0.3600,0.5500,1.1000,0.0000,0.12516931,0.12319049,0.13560680
mackey300,1,300,0.4000,0.3800,0.5000,1.1000,0.0000,0.12233883,0.12474154,0.13596115
mackey300,1,300,0.5000,0.3100,0.5000,1.1000,0.0000,0.12563273,0.12301404,0.13534273
mackey300,1,300,0.6000,0.3900,0.6000,1.1000,0.0000,0.12643439,0.12315087,0.13700903
mackey300,1,300,0.7000,0.3500,0.5000,1.1000,0.0000,0.12318165,0.12116623,0.13601428
mackey300,1,300,0.8000,0.3800,0.5500,1.1000,0.0000,0.12430745,0.12462004,0.13682581
mackey300,1,300,0.9000,0.3700,0.7000,1.1000,0.0000,0.12429611,0.12304205,0.13651321
mackey300,1,300,1.0000,0.3100,0.5000,1.1000,0.0000,0.12783933,0.12375468,0.13691099
mackey300,2,300,0.0000,0.3500,0.6500,1.1000,0.0000,0.12651906,0.12215672,0.13868623
mackey300,2,300,0.1000,0.4000,0.6500,1.1000,0.0000,0.12222734,0.12135228,0.13420187
mackey300,2,300,0.2000,0.3200,0.7000,1.1000,0.0000,0.12479272,0.12275970,0.13535919
mackey300,2,300,0.3000,0.3600,0.6000,1.1000,0.0000,0.12603666,0.12431605,0.13745674
mackey300,2,300,0.4000,0.3500,0.7000,1.1000,0.0000,0.12840122,0.12577506,0.13905122
mackey300,2,300,0.5000,0.3400,0.5500,1.1000,0.0000,0.12682049,0.12770384,0.14009305
mackey300,2,300,0.6000,0.3900,0.5000,1.1000,0.0000,0.12367071,0.12208150,0.13394475
mackey300,2,300,0.7000,0.3800,0.6500,1.1000,0.0000,0.12322694,0.12359900,0.13689101
mackey300,2,300,0.8000,0.3900,0.5500,1.1000,0.0000,0.12661572,0.12639790,0.13960386
mackey300,2,300,0.9000,0.3800,0.7000,1.1000,0.0000,0.12685094,0.12653097,0.14142650
mackey300,2,300,1.0000,0.3400,0.5500,1.1000,0.0000,0.12809160,0.12437125,0.13673026

mackey500,0,500,0.0000,0.3300,1.1000,1.1000,0.0000,0.11371101,0.11744737,0.13331050
